sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,sy_dist,sy_disterr1,sy_disterr2
1,6,Transit,13.0241,0.0013,-0.0008,0.107,0.001,-0.001,2.87,0.05,-0.06,2.9,2.9,-1.6,0.66,0.66,-0.35,0.026,0.063,-0.013,,,,,,,,,5663,55,-66,1.06,0.02,-0.02,0.96,0.03,-0.03,,,,,4.37,0.01,-0.02,8.5,1.1,-1.4,0,1.122,0.049,-0.06,646.346,6.375,-6.375
1,6,Transit,22.6845,0.0009,-0.0009,0.155,0.001,-0.001,3.12,0.06,-0.07,7.3,0.8,-1.5,1.28,0.14,-0.27,0.004,0.007,-0.002,,,,,,,,,5663,55,-66,1.06,0.02,-0.02,0.96,0.03,-0.03,,,,,4.37,0.01,-0.02,8.5,1.1,-1.4,0,1.122,0.049,-0.06,646.346,6.375,-6.375
1,6,Transit,31.9996,0.0008,-0.0012,0.195,0.002,-0.002,4.19,0.07,-0.09,8,1.5,-2.1,0.58,0.11,-0.16,0.012,0.006,-0.006,,,,,,,,,5663,55,-66,1.06,0.02,-0.02,0.96,0.03,-0.03,,,,,4.37,0.01,-0.02,8.5,1.1,-1.4,0,1.122,0.049,-0.06,646.346,6.375,-6.375
1,6,Transit,46.6888,0.0027,-0.0032,0.25,0.002,-0.002,2.49,0.04,-0.07,2,0.8,-0.9,0.69,0.29,-0.32,0.013,0.011,-0.009,,,,,,,,,5663,55,-66,1.06,0.02,-0.02,0.96,0.03,-0.03,,,,,4.37,0.01,-0.02,8.5,1.1,-1.4,0,1.122,0.049,-0.06,646.346,6.375,-6.375
1,6,Transit,118.3807,0.001,-0.0006,0.466,0.004,-0.004,3.33,0.06,-0.08,25,,,4,,,0.15,,,,,,,,,,,5663,55,-66,1.06,0.02,-0.02,0.96,0.03,-0.03,,,,,4.37,0.01,-0.02,8.5,1.1,-1.4,0,1.122,0.049,-0.06,646.346,6.375,-6.375
2,6,Transit,3.69611525,1.15E-06,-8.7E-07,0.0463,0.0009,-0.0015,1.868,0.066,-0.034,9.7,1.41,-1.44,8.2,1.5,-1.3,0.03,0.09,-0.03,,,,1105,37,-37,0,,5495,50,-50,0.96,0.02,-0.02,0.95,0.05,-0.05,0.07,0.08,-0.08,0,4.45,0.01,-0.01,7.6,3.7,-3.7,0,,,,282.563,1.776,-1.753
2,6,Transit,10.85409089,3.03E-06,-2.6E-06,0.0949,0.0027,-0.0023,3.047,0.064,-0.056,12.75,2.17,-2.24,2.5,0.5,-0.5,0.16,0.01,-0.09,,,,772,26,-26,0,,5495,50,-50,0.96,0.02,-0.02,0.95,0.05,-0.05,0.07,0.08,-0.08,0,4.45,0.01,-0.01,7.6,3.7,-3.7,0,,,,282.563,1.776,-1.753
2,6,Transit,77.61130017,0.00012305,-0.00011588,0.3506,0.0081,-0.0101,2.744,0.073,-0.055,10.07,3.97,-3.7,2.7,1.1,-1,,,,,,,401,13,-13,0,,5495,50,-50,0.96,0.02,-0.02,0.95,0.05,-0.05,0.07,0.08,-0.08,0,4.45,0.01,-0.01,7.6,3.7,-3.7,0,,,,282.563,1.776,-1.753
2,6,Transit,6.09852281,6.08E-06,-1.351E-05,0.0639,0.0019,-0.0014,0.865,0.026,-0.028,,,,,,,,,,,,,,,,,,5495,50,-50,0.96,0.02,-0.02,0.95,0.05,-0.05,0.07,0.08,-0.08,0,4.45,0.01,-0.01,7.6,3.7,-3.7,0,,,,282.563,1.776,-1.753
2,6,Transit,19.57758478,9.037E-05,-0.00012256,0.1396,0.0036,-0.0035,1.003,0.05,-0.089,,,,,,,,,,,,,,,,,,5495,50,-50,0.96,0.02,-0.02,0.95,0.05,-0.05,0.07,0.08,-0.08,0,4.45,0.01,-0.01,7.6,3.7,-3.7,0,,,,282.563,1.776,-1.753
